period,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0.01,-2.227,0.585,-0.041,-2.408,0.322,-2.798,0.313,-1.573,0.132,-0.004131,-1.705
0.02,-2.623,0.744,-0.054,-2.442,0.328,-2.893,0.325,-1.627,0.131,-0.004103,-1.688
0.03,-3.209,0.951,-0.071,-2.413,0.326,-2.889,0.322,-1.711,0.126,-0.004072,-1.659
0.04,-3.502,1.046,-0.079,-2.381,0.323,-2.807,0.315,-1.655,0.113,-0.004242,-1.665
0.05,-3.596,1.083,-0.082,-2.353,0.32,-2.768,0.317,-1.545,0.106,-0.004541,-1.676
0.075,-3.322,1.052,-0.081,-2.279,0.309,-2.695,0.316,-1.415,0.115,-0.005285,-1.666
0.1,-3.316,1.085,-0.085,-2.242,0.302,-2.621,0.307,-1.34,0.119,-0.005715,-1.649
0.15,-3.297,1.099,-0.086,-2.193,0.292,-2.499,0.286,-1.311,0.119,-0.005641,-1.603
0.2,-3.436,1.139,-0.089,-2.151,0.285,-2.43,0.274,-1.293,0.119,-0.005189,-1.579
0.25,-3.519,1.137,-0.088,-2.107,0.278,-2.366,0.263,-1.267,0.118,-0.004643,-1.555
0.3,-3.41,1.059,-0.081,-2.049,0.27,-2.298,0.252,-1.25,0.117,-0.004181,-1.522
0.4,-3.631,1.065,-0.079,-2.005,0.263,-2.242,0.243,-1.228,0.116,-0.003217,-1.497
0.5,-3.745,1.04,-0.075,-1.978,0.259,-2.205,0.237,-1.217,0.115,-0.002691,-1.483
0.75,-4.401,1.132,-0.078,-1.968,0.257,-2.189,0.234,-1.206,0.114,-0.002289,-1.488
1.0,-4.944,1.216,-0.083,-1.948,0.253,-2.155,0.228,-1.206,0.114,-0.002216,-1.501
1.5,-5.581,1.289,-0.087,-1.939,0.252,-2.134,0.223,-1.208,0.114,-0.001988,-1.552
2.0,-6.117,1.365,-0.092,-1.921,0.249,-2.116,0.218,-1.212,0.115,-0.001793,-1.567
3.0,-6.629,1.384,-0.089,-1.915,0.248,-2.136,0.217,-1.241,0.116,-0.001534,-1.534
4.0,-6.999,1.394,-0.086,-1.984,0.257,-2.208,0.221,-1.273,0.116,-0.001264,-1.526
5.0,-7.476,1.453,-0.088,-2.028,0.264,-2.267,0.23,-1.273,0.117,-0.001226,-1.529
7.5,-8.289,1.477,-0.083,-1.924,0.255,-2.216,0.237,-1.196,0.118,-0.001157,-1.511
10.0,-8.801,1.493,-0.079,-1.826,0.244,-2.177,0.243,-1.15,0.122,-0.001118,-1.493
